byte,bit,nummer
236,7,700707
237,0,700708
237,1,700709
237,2,700710
237,3,700711
237,4,700712
237,5,700713
237,6,700714
237,7,700715
238,0,700716
238,1,700717
238,2,700718
238,3,700719
238,4,700720
238,5,700721
238,6,700722
238,7,700723
239,0,700724
239,1,700725
239,2,700726
239,3,700727
239,4,700728
239,5,700729
239,6,700730
239,7,700731
240,0,700732
240,1,700733
240,2,700734
240,3,700735
240,4,700736
240,5,700737
240,6,700738
240,7,700739
241,0,700740
241,1,700741
241,2,700742
241,3,700743
241,4,700744
241,5,700745
241,6,700746
241,7,700747
242,0,700748
242,1,700749
242,2,700750
242,3,700751
242,4,700752
242,5,700753
242,6,700754
242,7,700755
243,0,700756
243,1,700757
243,2,700758
243,3,700759
243,4,700760
243,5,700761
243,6,700762
243,7,700763
244,0,700800
244,1,700801
244,2,700802
244,3,700803
244,4,700804
244,5,700805
244,6,700806
244,7,700807
245,0,700808
245,1,700809
245,2,700810
245,3,700811
245,4,700812
245,5,700813
245,6,700814
245,7,700815
246,0,700816
246,1,700817
246,2,700818
246,3,700819
246,4,700820
246,5,700821
246,6,700822
246,7,700823
247,0,700824
247,1,700825
247,2,700826
247,3,700827
247,4,700828
247,5,700829
247,6,700830
247,7,700831
248,0,700832
248,1,700833
248,2,700834
248,3,700835
248,4,700836
248,5,700837
248,6,700838
248,7,700839
249,0,700840
249,1,700841
249,2,700842
249,3,700843
249,4,700844
249,5,700845
249,6,700846
249,7,700847
250,0,700848
250,1,700849
250,2,700850
250,3,700851
250,4,700852
250,5,700853
250,6,700854
250,7,700855
251,0,700856
251,1,700857
251,2,700858
251,3,700859
251,4,700860
251,5,700861
251,6,700862
251,7,700863
252,0,700900
252,1,700901
252,2,700902
252,3,700903
252,4,700904
252,5,700905
252,6,700906
252,7,700907
253,0,700908
253,1,700909
253,2,700910
253,3,700911
253,4,700912
253,5,700913
253,6,700914
253,7,700915
254,0,700916
254,1,700917
254,2,700918
254,3,700919
254,4,700920
254,5,700921
254,6,700922
254,7,700923
255,0,700924
255,1,700925
255,2,700926
255,3,700927
255,4,700928
255,5,700929
255,6,700930
255,7,700931
256,0,700932
256,1,700933
256,2,700934
256,3,700935
256,4,700936
256,5,700937
256,6,700938
256,7,700939
257,0,700940
257,1,700941
257,2,700942
257,3,700943
257,4,700944
257,5,700945
257,6,700946
257,7,700947
258,0,700948
258,1,700949
258,2,700950
258,3,700951
258,4,700952
258,5,700953
258,6,700954
258,7,700955
259,0,700956
259,1,700957
259,2,700958
259,3,700959
259,4,700960
259,5,700961
259,6,700962
259,7,700963
260,0,701000
260,1,701001
260,2,701002
260,3,701003
260,4,701004
260,5,701005
